Addresss,station,walk_min,sale_price ,layout,floor_area_sqm,building_age,structure,description
高津戸町,土気,12,17000000,,80,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの、80のマンションが17000000で取引された。
高津戸町,土気,12,18000000,３ＬＤＫ,75,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの３ＬＤＫ、75のマンションが18000000で取引された。
高津戸町,土気,10,8300000,,55,1992年,ＲＣ,高津戸町、土気から10、1992年、ＲＣの、55のマンションが8300000で取引された。
高津戸町,土気,13,14000000,３ＬＤＫ,75,1992年,ＳＲＣ,高津戸町、土気から13、1992年、ＳＲＣの３ＬＤＫ、75のマンションが14000000で取引された。
高津戸町,土気,12,14000000,,70,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの、70のマンションが14000000で取引された。
高津戸町,土気,10,5700000,１ＬＤＫ,50,1992年,ＲＣ,高津戸町、土気から10、1992年、ＲＣの１ＬＤＫ、50のマンションが5700000で取引された。
高津戸町,土気,12,18000000,３ＬＤＫ,70,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの３ＬＤＫ、70のマンションが18000000で取引された。
高津戸町,土気,12,5600000,２ＬＤＫ,50,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの２ＬＤＫ、50のマンションが5600000で取引された。
高津戸町,土気,12,9500000,３ＬＤＫ,75,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの３ＬＤＫ、75のマンションが9500000で取引された。
高津戸町,土気,10,4400000,２ＬＤＫ,50,1992年,ＲＣ,高津戸町、土気から10、1992年、ＲＣの２ＬＤＫ、50のマンションが4400000で取引された。
高津戸町,土気,15,6700000,３ＬＤＫ,70,1992年,ＳＲＣ,高津戸町、土気から15、1992年、ＳＲＣの３ＬＤＫ、70のマンションが6700000で取引された。
高津戸町,土気,12,9800000,,75,1992年,ＳＲＣ,高津戸町、土気から12、1992年、ＳＲＣの、75のマンションが9800000で取引された。
土気町,土気,9,19000000,３ＬＤＫ,65,,,土気町、土気から9、、の３ＬＤＫ、65のマンションが19000000で取引された。
土気町,土気,9,19000000,３ＬＤＫ,65,,,土気町、土気から9、、の３ＬＤＫ、65のマンションが19000000で取引された。
土気町,土気,9,3500000,３ＬＤＫ,50,1994年,ＲＣ,土気町、土気から9、1994年、ＲＣの３ＬＤＫ、50のマンションが3500000で取引された。
土気町,土気,8,17000000,,65,1998年,ＲＣ,土気町、土気から8、1998年、ＲＣの、65のマンションが17000000で取引された。
土気町,土気,11,13000000,,50,2001年,ＲＣ,土気町、土気から11、2001年、ＲＣの、50のマンションが13000000で取引された。
土気町,土気,8,12000000,,75,1997年,ＲＣ,土気町、土気から8、1997年、ＲＣの、75のマンションが12000000で取引された。
土気町,土気,8,15000000,,65,1998年,ＲＣ,土気町、土気から8、1998年、ＲＣの、65のマンションが15000000で取引された。
土気町,土気,8,12000000,３ＬＤＫ,60,1994年,ＲＣ,土気町、土気から8、1994年、ＲＣの３ＬＤＫ、60のマンションが12000000で取引された。
土気町,土気,8,15000000,２ＬＤＫ,75,1997年,ＲＣ,土気町、土気から8、1997年、ＲＣの２ＬＤＫ、75のマンションが15000000で取引された。
土気町,土気,7,20000000,３ＬＤＫ,65,1998年,ＲＣ,土気町、土気から7、1998年、ＲＣの３ＬＤＫ、65のマンションが20000000で取引された。
土気町,土気,8,13000000,３ＬＤＫ,70,1997年,ＲＣ,土気町、土気から8、1997年、ＲＣの３ＬＤＫ、70のマンションが13000000で取引された。
土気町,土気,12,5400000,２ＬＤＫ,50,2001年,ＲＣ,土気町、土気から12、2001年、ＲＣの２ＬＤＫ、50のマンションが5400000で取引された。
土気町,土気,8,11000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から8、1997年、ＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
土気町,土気,8,25000000,３ＬＤＫ,65,1998年,ＲＣ,土気町、土気から8、1998年、ＲＣの３ＬＤＫ、65のマンションが25000000で取引された。
土気町,土気,8,18000000,３ＬＤＫ,65,1998年,ＲＣ,土気町、土気から8、1998年、ＲＣの３ＬＤＫ、65のマンションが18000000で取引された。
